"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
1355.93689,1.982595,1355.93689,0,0,,
1359.37183,1.982562,1359.37183,0,0,,
1362.80713,1.982529,1362.80713,0,0,,
1366.24316,1.982496,1366.24316,0,0,,
1369.67969,1.982464,1369.67969,0,0,,
1373.117,1.982431,1373.117,0,0,,
1376.55457,1.982399,1376.55457,0,0,,
1379.99292,1.982368,1379.99292,0,0,,
1383.43164,1.982336,1383.43164,0,0,,
1386.87109,1.982305,1386.87109,0,0,,
1390.311,1.982273,1390.311,0,0,,
1393.75171,1.982243,1393.75171,0,0,,
1397.19275,1.982212,1397.19275,0,0,,
1400.63452,1.982181,1400.63452,0,0,,
1404.07678,1.982151,1404.07678,0,0,,
1407.51953,1.982121,1407.51953,0,0,,
1410.963,1.982091,1410.963,0,0,,
1414.407,1.982062,1414.407,0,0,,
1417.85156,1.982033,1417.85156,0,0,,
1421.29663,1.982003,1421.29663,0,0,,
1424.74243,1.981974,1424.74243,0,0,,
1428.1886,1.981946,1428.1886,0,0,,
1431.6355,1.981917,1431.6355,0,0,,
1435.08289,1.981889,1435.08289,0,0,,
1438.53088,1.981861,1438.53088,0,0,,
1441.97937,1.981833,1441.97937,0,0,,
1445.42847,1.981805,1445.42847,0,0,,
1448.87817,1.981778,1448.87817,0,0,,
1452.32849,1.98175,1452.32849,0,0,,
1455.7793,1.981723,1455.7793,0,0,,
1459.23071,1.981696,1459.23071,0,0,,
1462.68274,1.981669,1462.68274,0,0,,
1466.13525,1.981643,1466.13525,0,0,,
1469.58838,1.981616,1469.58838,0,0,,
1473.04211,1.98159,1473.04211,0,0,,
1476.49634,1.981564,1476.49634,0,0,,
1479.95117,1.981538,1479.95117,0,0,,
1483.40649,1.981513,1483.40649,0,0,,
1486.86255,1.981487,1486.86255,0,0,,
1490.31909,1.981462,1490.31909,0,0,,
1493.77612,1.981437,1493.77612,0,0,,
1497.23389,1.981412,1497.23389,0,0,,
1500.69214,1.981387,1500.69214,0,0,,
1504.151,1.981362,1504.151,0,0,,
1507.61035,1.981338,1507.61035,0,0,,
1511.07031,1.981314,1511.07031,0,0,,
1514.53088,1.98129,1514.53088,0,0,,
1517.992,1.981266,1517.992,0,0,,
1521.45361,1.981242,1521.45361,0,0,,
1524.91589,1.981218,1524.91589,0,0,,
1528.37866,1.981195,1528.37866,0,0,,
1531.842,1.981171,1531.842,0,0,,
1535.306,1.981148,1535.306,0,0,,
1538.77063,1.981125,1538.77063,0,0,,
1542.23572,1.981102,1542.23572,0,0,,
1545.70142,1.98108,1545.70142,0,0,,
1549.16772,1.981057,1549.16772,0,0,,
1552.63452,1.981035,1552.63452,0,0,,
1556.10181,1.981012,1556.10181,0,0,,
1559.56982,1.98099,1559.56982,0,0,,
1563.03833,1.980968,1563.03833,0,0,,
1566.50757,1.980946,1566.50757,0,0,,
1569.97717,1.980925,1569.97717,0,0,,
1573.44751,1.980903,1573.44751,0,0,,
1576.91821,1.980882,1576.91821,0,0,,
1580.38965,1.98086,1580.38965,0,0,,
1583.86157,1.980839,1583.86157,0,0,,
1587.33411,1.980818,1587.33411,0,0,,
1590.80725,1.980798,1590.80725,0,0,,
1594.28088,1.980777,1594.28088,0,0,,
1597.75513,1.980756,1597.75513,0,0,,
1601.23,1.980736,1601.23,0,0,,
1604.70532,1.980716,1604.70532,0,0,,
1608.18127,1.980695,1608.18127,0,0,,
1611.65784,1.980675,1611.65784,0,0,,
1615.135,1.980655,1615.135,0,0,,
1618.61255,1.980636,1618.61255,0,0,,
1622.09082,1.980616,1622.09082,0,0,,
1625.56958,1.980596,1625.56958,0,0,,
1629.04907,1.980577,1629.04907,0,0,,
1632.529,1.980557,1632.529,0,0,,
1636.00952,1.980538,1636.00952,0,0,,
1639.4906,1.980519,1639.4906,0,0,,
1642.97229,1.9805,1642.97229,0,0,,
1646.45447,1.980481,1646.45447,0,0,,
1649.93726,1.980463,1649.93726,0,0,,
1653.42065,1.980444,1653.42065,0,0,,
1656.90466,1.980426,1656.90466,0,0,,
1660.38928,1.980407,1660.38928,0,0,,
1663.87427,1.980389,1663.87427,0,0,,
1667.36,1.980371,1667.36,0,0,,
1670.84607,1.980353,1670.84607,0,0,,
1674.333,1.980335,1674.333,0,0,,
1677.82031,1.980317,1677.82031,0,0,,
1681.30823,1.980299,1681.30823,0,0,,
1684.79688,1.980282,1684.79688,0,0,,
1688.28589,1.980264,1688.28589,0,0,,
