"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
371.2659,2.079949,371.2659,0,0,,
372.855438,2.078867,372.855438,0,0,,
374.445,2.077802,374.445,0,0,,
376.0346,2.076756,376.0346,0,0,,
377.6242,2.075727,377.6242,0,0,,
379.2138,2.074714,379.2138,0,0,,
380.8034,2.073719,380.8034,0,0,,
382.393066,2.072739,382.393066,0,0,,
383.982727,2.071775,383.982727,0,0,,
385.5724,2.070827,385.5724,0,0,,
387.162048,2.069893,387.162048,0,0,,
388.75177,2.068974,388.75177,0,0,,
390.341461,2.06807,390.341461,0,0,,
391.931152,2.06718,391.931152,0,0,,
393.520874,2.066303,393.520874,0,0,,
395.110626,2.065441,395.110626,0,0,,
396.700348,2.064591,396.700348,0,0,,
398.2901,2.063754,398.2901,0,0,,
399.879822,2.062929,399.879822,0,0,,
401.4696,2.062117,401.4696,0,0,,
403.0594,2.061317,403.0594,0,0,,
404.649139,2.060529,404.649139,0,0,,
406.238922,2.059753,406.238922,0,0,,
407.8287,2.058987,407.8287,0,0,,
409.4185,2.058233,409.4185,0,0,,
411.00824,2.05749,411.00824,0,0,,
412.598053,2.056757,412.598053,0,0,,
414.187836,2.056035,414.187836,0,0,,
415.777649,2.055323,415.777649,0,0,,
417.367432,2.054621,417.367432,0,0,,
418.957275,2.053929,418.957275,0,0,,
420.547058,2.053246,420.547058,0,0,,
422.136871,2.052573,422.136871,0,0,,
423.726654,2.051909,423.726654,0,0,,
425.316467,2.051255,425.316467,0,0,,
426.90625,2.050609,426.90625,0,0,,
428.496033,2.049972,428.496033,0,0,,
430.0858,2.049343,430.0858,0,0,,
431.6756,2.048723,431.6756,0,0,,
433.265381,2.048111,433.265381,0,0,,
434.855133,2.047508,434.855133,0,0,,
436.444916,2.046912,436.444916,0,0,,
438.034668,2.046324,438.034668,0,0,,
439.62442,2.045743,439.62442,0,0,,
441.2142,2.04517,441.2142,0,0,,
442.8039,2.044605,442.8039,0,0,,
444.393646,2.044047,444.393646,0,0,,
445.9834,2.043496,445.9834,0,0,,
447.5731,2.042952,447.5731,0,0,,
449.162781,2.042414,449.162781,0,0,,
450.7525,2.041884,450.7525,0,0,,
452.3422,2.04136,452.3422,0,0,,
453.931824,2.040843,453.931824,0,0,,
455.521545,2.040332,455.521545,0,0,,
457.111176,2.039827,457.111176,0,0,,
458.700775,2.039329,458.700775,0,0,,
460.290436,2.038837,460.290436,0,0,,
461.880035,2.03835,461.880035,0,0,,
463.469635,2.03787,463.469635,0,0,,
465.059174,2.037395,465.059174,0,0,,
466.648743,2.036926,466.648743,0,0,,
468.238281,2.036463,468.238281,0,0,,
469.8278,2.036005,469.8278,0,0,,
471.417328,2.035553,471.417328,0,0,,
473.006775,2.035105,473.006775,0,0,,
474.596283,2.034663,474.596283,0,0,,
476.18573,2.034227,476.18573,0,0,,
477.775146,2.033795,477.775146,0,0,,
479.364563,2.033368,479.364563,0,0,,
480.953949,2.032947,480.953949,0,0,,
482.5433,2.03253,482.5433,0,0,,
484.13266,2.032117,484.13266,0,0,,
485.722,2.03171,485.722,0,0,,
487.311279,2.031307,487.311279,0,0,,
488.900543,2.030908,488.900543,0,0,,
490.4898,2.030514,490.4898,0,0,,
492.079,2.030125,492.079,0,0,,
493.6682,2.02974,493.6682,0,0,,
495.257416,2.029359,495.257416,0,0,,
496.846527,2.028982,496.846527,0,0,,
498.435638,2.028609,498.435638,0,0,,
500.02475,2.028241,500.02475,0,0,,
501.613831,2.027876,501.613831,0,0,,
503.20282,2.027516,503.20282,0,0,,
504.79184,2.027159,504.79184,0,0,,
506.3808,2.026806,506.3808,0,0,,
507.9698,2.026457,507.9698,0,0,,
509.5587,2.026112,509.5587,0,0,,
511.147552,2.02577,511.147552,0,0,,
512.73645,2.025432,512.73645,0,0,,
