sep=;
Window;1;Frequency Sweep
Trace;1;
100000;-1,342670440673828125;
1100900,9009009008296;6,98986053466796875;
2101801,8018018016592;-0,5019092559814453125;
3102702,7027027024888;1,629150390625;
4103603,6036036033183;-1,859161376953125;
5104504,5045045046136;4,07407379150390625;
6105405,4054054059088;3,02599334716796875;
7106306,3063063072041;3,296047210693359375;
8107207,2072072084993;2,551212310791015625;
9108108,1081081088632;3,310665130615234375;
10109009,009009009227;3,058895111083984375;
11109909,909909909591;3,044010162353515625;
12110810,810810809955;3,25748443603515625;
13111711,711711710319;2,6463470458984375;
14112612,612612610683;3,27864837646484375;
15113513,513513511047;3,452342987060546875;
16114414,414414411411;3,03203582763671875;
17115315,315315313637;2,877506256103515625;
18116216,216216214001;2,36837005615234375;
19117117,117117114365;3,678737640380859375;
20118018,018018014729;3,055522918701171875;
21118918,918918915093;3,552272796630859375;
22119819,819819815457;3,918430328369140625;
23120720,720720715821;2,75829315185546875;
24121621,621621616185;4,26161956787109375;
25122522,522522516549;3,834308624267578125;
26123423,423423416913;3,420803070068359375;
27124324,324324317276;3,441959381103515625;
28125225,22522521764;3,74294281005859375;
29126126,126126118004;3,38527679443359375;
30127027,027027018368;3,54944610595703125;
31127927,927927918732;3,6557769775390625;
32128828,828828819096;3,552494049072265625;
33129729,72972971946;3,11568450927734375;
34130630,630630619824;3,40169525146484375;
35131531,531531520188;3,571685791015625;
36132432,432432420552;2,377655029296875;
37133333,333333320916;3,35691070556640625;
38134234,23423422128;2,99588775634765625;
39135135,135135121644;3,027820587158203125;
40136036,036036022007;3,858089447021484375;
41136936,936936922371;3,56468963623046875;
42137837,837837822735;3,578372955322265625;
43138738,738738723099;2,97826385498046875;
44139639,639639623463;3,5205841064453125;
45140540,540540523827;2,746585845947265625;
46141441,441441424191;2,859619140625;
47142342,342342324555;4,07674407958984375;
48143243,243243224919;3,15079498291015625;
49144144,144144125283;3,277400970458984375;
50145045,045045025647;3,84786224365234375;
51145945,945945926011;3,092380523681640625;
52146846,846846826375;3,69716644287109375;
53147747,747747726738;3,016094207763671875;
54148648,648648627102;3,044834136962890625;
55149549,549549527466;2,82769012451171875;
56150450,45045042783;3,66082000732421875;
57151351,351351328194;3,82120513916015625;
58152252,252252228558;3,111358642578125;
59153153,153153128922;3,845184326171875;
60154054,054054029286;3,39484405517578125;
61154954,95495492965;3,393558502197265625;
62155855,855855830014;3,4846954345703125;
63156756,756756730378;3,303859710693359375;
64157657,657657630742;3,174358367919921875;
65158558,558558531106;3,526947021484375;
66159459,459459431469;3,060028076171875;
67160360,360360339284;3,2620849609375;
68161261,261261239648;3,386447906494140625;
69162162,162162140012;3,813571929931640625;
70163063,063063040376;3,28841400146484375;
71163963,96396394074;3,121524810791015625;
72164864,864864841104;3,837646484375;
73165765,765765741467;3,587520599365234375;
74166666,666666641831;3,108592987060546875;
75167567,567567542195;3,484039306640625;
76168468,468468442559;3,714397430419921875;
77169369,369369342923;3,416767120361328125;
78170270,270270243287;3,51239776611328125;
79171171,171171143651;3,5462188720703125;
80172072,072072044015;3,960659027099609375;
81172972,972972944379;3,3315582275390625;
82173873,873873844743;3,771915435791015625;
83174774,774774745107;3,51430511474609375;
84175675,675675645471;2,892955780029296875;
85176576,576576545835;3,6373748779296875;
86177477,477477446198;3,4953460693359375;
87178378,378378346562;3,664783477783203125;
88179279,279279246926;3,747608184814453125;
89180180,18018014729;3,934001922607421875;
90181081,081081047654;3,366794586181640625;
91181981,981981948018;3,458766937255859375;
92182882,882882848382;3,602397918701171875;
93183783,783783748746;3,397674560546875;
94184684,68468464911;3,688335418701171875;
95185585,585585549474;3,27652740478515625;
96186486,486486449838;3,570343017578125;
97187387,387387350202;4,181026458740234375;
98188288,288288250566;3,434200286865234375;
99189189,189189150929;3,85796356201171875;
100190090,09009005129;3,993255615234375;
101190990,99099095166;3,50762176513671875;
102191891,89189185202;3,822399139404296875;
103192792,79279275239;3,0455780029296875;
104193693,69369365275;3,557170867919921875;
105194594,59459455311;3,991363525390625;
106195495,49549545348;3,93450164794921875;
107196396,39639635384;3,500652313232421875;
108197297,2972972542;2,979206085205078125;
109198198,19819815457;3,2922821044921875;
110199099,09909905493;3,52783966064453125;
111199999,9999999553;3,596614837646484375;
112200900,90090085566;4,10405731201171875;
113201801,80180175602;3,9274444580078125;
114202702,70270265639;3,528156280517578125;
115203603,60360355675;3,648143768310546875;
116204504,50450445712;3,557529449462890625;
117205405,40540535748;3,80660247802734375;
118206306,30630625784;4,097904205322265625;
119207207,20720715821;3,74166107177734375;
120208108,10810805857;3,89035797119140625;
121209009,00900895894;4,140293121337890625;
122209909,9099098593;3,74347686767578125;
123210810,81081075966;4,37093353271484375;
124211711,71171166003;3,94669342041015625;
125212612,61261256039;3,34140777587890625;
126213513,51351346076;3,9381561279296875;
127214414,41441436112;3,69415283203125;
128215315,31531526148;4,51526641845703125;
129216216,21621616185;3,778656005859375;
130217117,11711706221;3,4602813720703125;
131218018,01801796257;3,609416961669921875;
132218918,91891886294;3,73114776611328125;
133219819,8198197633;3,55382537841796875;
134220720,72072067857;3,566371917724609375;
135221621,62162157893;3,74622344970703125;
136222522,5225224793;4,307098388671875;
137223423,42342337966;4,401950836181640625;
138224324,32432428002;3,918193817138671875;
139225225,22522518039;3,970539093017578125;
140226126,12612608075;3,30033111572265625;
141227027,02702698112;3,815967559814453125;
142227927,92792788148;3,688922882080078125;
143228828,82882878184;3,67581939697265625;
144229729,72972968221;3,825611114501953125;
145230630,63063058257;3,77890777587890625;
146231531,53153148293;3,462299346923828125;
147232432,4324323833;3,8953094482421875;
148233333,33333328366;3,734523773193359375;
149234234,23423418403;3,86637115478515625;
150235135,13513508439;4,161773681640625;
151236036,03603598475;3,486957550048828125;
152236936,93693688512;3,728912353515625;
153237837,83783778548;3,841220855712890625;
154238738,73873868585;3,500186920166015625;
155239639,63963958621;3,588775634765625;
156240540,54054048657;3,352817535400390625;
157241441,44144138694;4,058750152587890625;
158242342,3423422873;3,48545074462890625;
159243243,24324318767;3,955326080322265625;
160244144,14414408803;3,659454345703125;
161245045,04504498839;3,370410919189453125;
162245945,94594588876;3,923740386962890625;
163246846,84684678912;3,864665985107421875;
164247747,74774768949;3,648029327392578125;
165248648,64864858985;3,561649322509765625;
166249549,54954949021;3,816959381103515625;
167250450,45045039058;3,892047882080078125;
168251351,35135129094;3,728954315185546875;
169252252,25225219131;4,122653961181640625;
170253153,15315309167;4,363525390625;
171254054,05405399203;4,0556488037109375;
172254954,9549548924;3,700298309326171875;
173255855,85585579276;4,16962432861328125;
174256756,75675669312;4,093593597412109375;
175257657,65765759349;4,01593017578125;
176258558,55855849385;3,99851226806640625;
177259459,45945939422;3,724338531494140625;
178260360,36036029458;3,93039703369140625;
179261261,26126119494;3,85326385498046875;
180262162,16216209531;3,727954864501953125;
181263063,06306299567;4,338771820068359375;
182263963,96396389604;3,840850830078125;
183264864,8648647964;4,336345672607421875;
184265765,76576569676;3,986175537109375;
185266666,66666659713;3,69144439697265625;
186267567,56756749749;3,6861114501953125;
187268468,46846839786;3,860637664794921875;
188269369,36936929822;4,252208709716796875;
189270270,27027019858;3,795986175537109375;
190271171,17117109895;3,60849761962890625;
191272072,07207199931;3,6175384521484375;
192272972,97297289968;3,81220245361328125;
193273873,87387380004;3,667949676513671875;
194274774,7747747004;3,331241607666015625;
195275675,67567560077;4,219867706298828125;
196276576,57657650113;3,661228179931640625;
197277477,47747740149;3,64400482177734375;
198278378,37837830186;3,493106842041015625;
199279279,27927920222;3,68035888671875;
200280180,18018010259;3,905101776123046875;
201281081,08108100295;3,86174774169921875;
202281981,98198190331;3,5133819580078125;
203282882,88288280368;2,59499359130859375;
204283783,78378370404;3,72264862060546875;
205284684,68468460441;3,56726837158203125;
206285585,58558550477;3,910076141357421875;
207286486,48648640513;3,649120330810546875;
208287387,3873873055;3,600444793701171875;
209288288,28828820586;3,89641571044921875;
210289189,18918910623;3,597560882568359375;
211290090,09009000659;3,4116363525390625;
212290990,99099090695;3,678722381591796875;
213291891,89189180732;3,503757476806640625;
214292792,79279270768;3,96596527099609375;
215293693,69369360805;4,4166717529296875;
216294594,59459450841;3,946559906005859375;
217295495,49549540877;3,54833984375;
218296396,39639630914;4,55757904052734375;
219297297,2972972095;3,873218536376953125;
220298198,19819810987;3,630767822265625;
221299099,09909901023;4,1183319091796875;
222299999,99999991059;3,6177825927734375;
223300900,90090081096;3,669887542724609375;
224301801,80180171132;3,384105682373046875;
225302702,70270261168;3,385051727294921875;
226303603,60360351205;3,998325347900390625;
227304504,50450441241;3,74530029296875;
228305405,40540531278;4,03504180908203125;
229306306,30630621314;3,307468414306640625;
230307207,2072071135;3,766803741455078125;
231308108,10810801387;3,315052032470703125;
232309009,00900891423;3,8811798095703125;
233309909,9099098146;3,941509246826171875;
234310810,81081071496;3,5175933837890625;
235311711,71171161532;3,232578277587890625;
236312612,61261251569;4,23955535888671875;
237313513,51351341605;3,43115234375;
238314414,41441431642;3,34796905517578125;
239315315,31531521678;3,57436370849609375;
240316216,21621611714;3,885784149169921875;
241317117,11711701751;3,5279083251953125;
242318018,01801791787;3,29485321044921875;
243318918,91891881824;3,808071136474609375;
244319819,8198197186;3,560611724853515625;
245320720,72072061896;3,2887725830078125;
246321621,62162151933;3,3823089599609375;
247322522,52252241969;3,56079864501953125;
248323423,42342332006;3,92043304443359375;
249324324,32432422042;3,32486724853515625;
250325225,22522512078;3,471721649169921875;
251326126,12612602115;4,1276397705078125;
252327027,02702692151;3,4134368896484375;
253327927,92792782187;3,55052947998046875;
254328828,82882872224;3,2160797119140625;
255329729,7297296226;3,63072967529296875;
256330630,63063052297;3,721836090087890625;
257331531,53153142333;3,898693084716796875;
258332432,43243232369;3,585208892822265625;
259333333,33333322406;3,551746368408203125;
260334234,23423412442;3,102863311767578125;
261335135,13513502479;3,6094818115234375;
262336036,03603592515;4,10584259033203125;
263336936,93693682551;3,684879302978515625;
264337837,83783772588;3,282184600830078125;
265338738,73873862624;4,02629852294921875;
