sep=;
Window;1;Frequency Sweep
Trace;1;
100000;-14,7595062255859375;
1100900,9009009008296;-0,307964324951171875;
2101801,8018018016592;-0,125885009765625;
3102702,7027027024888;0,8029232025146484375;
4103603,6036036033183;4,412555694580078125;
5104504,5045045046136;-0,398162841796875;
6105405,4054054059088;-0,838939666748046875;
7106306,3063063072041;-0,7968292236328125;
8107207,2072072084993;-2,301357269287109375;
9108108,1081081088632;-1,2899322509765625;
10109009,009009009227;-1,4752349853515625;
11109909,909909909591;-1,3781890869140625;
12110810,810810809955;-1,233795166015625;
13111711,711711710319;-0,87969970703125;
14112612,612612610683;-1,51576995849609375;
15113513,513513511047;-1,44635772705078125;
16114414,414414411411;-1,153533935546875;
17115315,315315313637;-1,6266326904296875;
18116216,216216214001;-1,840557098388671875;
19117117,117117114365;-0,89522552490234375;
20118018,018018014729;-1,355968475341796875;
21118918,918918915093;-0,8913421630859375;
22119819,819819815457;-0,224674224853515625;
23120720,720720715821;-1,215312957763671875;
24121621,621621616185;-1,012744903564453125;
25122522,522522516549;-0,5743408203125;
26123423,423423416913;-1,303218841552734375;
27124324,324324317276;-0,9081573486328125;
28125225,22522521764;-0,621402740478515625;
29126126,126126118004;-0,97951507568359375;
30127027,027027018368;-0,625766754150390625;
31127927,927927918732;-1,05263519287109375;
32128828,828828819096;-1,13379669189453125;
33129729,72972971946;-0,95716094970703125;
34130630,630630619824;-1,104198455810546875;
35131531,531531520188;-1,359996795654296875;
36132432,432432420552;-1,297382354736328125;
37133333,333333320916;-1,288738250732421875;
38134234,23423422128;-0,574726104736328125;
39135135,135135121644;-2,228298187255859375;
40136036,036036022007;-0,230327606201171875;
41136936,936936922371;-0,798152923583984375;
42137837,837837822735;-0,590427398681640625;
43138738,738738723099;-1,0259552001953125;
44139639,639639623463;-0,885650634765625;
45140540,540540523827;-1,23785400390625;
46141441,441441424191;-1,26416015625;
47142342,342342324555;0,282726287841796875;
48143243,243243224919;-0,022418975830078125;
49144144,144144125283;-1,244037628173828125;
50145045,045045025647;-1,128040313720703125;
51145945,945945926011;-1,155086517333984375;
52146846,846846826375;-0,734653472900390625;
53147747,747747726738;-1,08054351806640625;
54148648,648648627102;-0,903354644775390625;
55149549,549549527466;-0,87216949462890625;
56150450,45045042783;-0,94876861572265625;
57151351,351351328194;-0,44257354736328125;
58152252,252252228558;-1,388828277587890625;
59153153,153153128922;-0,945526123046875;
60154054,054054029286;-1,163425445556640625;
61154954,95495492965;-0,275691986083984375;
62155855,855855830014;-1,145233154296875;
63156756,756756730378;-1,1874847412109375;
64157657,657657630742;-0,96541595458984375;
65158558,558558531106;-0,73464202880859375;
66159459,459459431469;-1,19033050537109375;
67160360,360360339284;-1,2754669189453125;
68161261,261261239648;-1,161586761474609375;
69162162,162162140012;-1,11577606201171875;
70163063,063063040376;-1,182918548583984375;
71163963,96396394074;-1,08386993408203125;
72164864,864864841104;-0,50469970703125;
73165765,765765741467;-1,25780487060546875;
74166666,666666641831;-1,443996429443359375;
75167567,567567542195;-1,285999298095703125;
76168468,468468442559;-0,469860076904296875;
77169369,369369342923;-0,6549530029296875;
78170270,270270243287;-0,72675323486328125;
79171171,171171143651;-0,897495269775390625;
80172072,072072044015;-0,622837066650390625;
81172972,972972944379;-0,891925811767578125;
82173873,873873844743;0,037021636962890625;
83174774,774774745107;-1,37477874755859375;
84175675,675675645471;-1,034942626953125;
85176576,576576545835;-1,266918182373046875;
86177477,477477446198;-0,50009918212890625;
87178378,378378346562;-0,9193267822265625;
88179279,279279246926;-0,908702850341796875;
89180180,18018014729;-0,762668609619140625;
90181081,081081047654;-0,962398529052734375;
91181981,981981948018;-1,4036712646484375;
92182882,882882848382;-1,403804779052734375;
93183783,783783748746;-0,780178070068359375;
94184684,68468464911;-0,664966583251953125;
95185585,585585549474;-1,372386932373046875;
96186486,486486449838;-1,114837646484375;
97187387,387387350202;-1,214008331298828125;
98188288,288288250566;-0,954044342041015625;
99189189,189189150929;-1,0616912841796875;
100190090,09009005129;-0,590099334716796875;
101190990,99099095166;-0,62590789794921875;
102191891,89189185202;-0,3182373046875;
103192792,79279275239;-1,4290924072265625;
104193693,69369365275;-1,5198211669921875;
105194594,59459455311;-0,841625213623046875;
106195495,49549545348;-0,708309173583984375;
107196396,39639635384;-1,0781402587890625;
108197297,2972972542;-1,597835540771484375;
109198198,19819815457;-1,337158203125;
110199099,09909905493;-1,173168182373046875;
111199999,9999999553;-1,048397064208984375;
112200900,90090085566;-0,424411773681640625;
113201801,80180175602;-0,776767730712890625;
114202702,70270265639;-1,152435302734375;
115203603,60360355675;-1,037158966064453125;
116204504,50450445712;-1,181468963623046875;
117205405,40540535748;-0,831348419189453125;
118206306,30630625784;-1,151424407958984375;
119207207,20720715821;-1,44622039794921875;
120208108,10810805857;-1,308563232421875;
121209009,00900895894;-0,951648712158203125;
122209909,9099098593;-0,755573272705078125;
123210810,81081075966;-0,96724700927734375;
124211711,71171166003;-0,80233001708984375;
125212612,61261256039;-1,048870086669921875;
126213513,51351346076;-1,49234771728515625;
127214414,41441436112;-0,81285858154296875;
128215315,31531526148;-0,63512420654296875;
129216216,21621616185;-1,195068359375;
130217117,11711706221;-0,92047882080078125;
131218018,01801796257;-0,789546966552734375;
132218918,91891886294;-1,266635894775390625;
133219819,8198197633;-1,6352386474609375;
134220720,72072067857;-1,364635467529296875;
135221621,62162157893;-0,962955474853515625;
136222522,5225224793;-0,6796875;
137223423,42342337966;-1,060863494873046875;
138224324,32432428002;-1,160678863525390625;
139225225,22522518039;-1,326450347900390625;
140226126,12612608075;-1,220401763916015625;
141227027,02702698112;-1,01984405517578125;
142227927,92792788148;-1,03034210205078125;
143228828,82882878184;-1,910976409912109375;
144229729,72972968221;-1,087429046630859375;
145230630,63063058257;-0,9857177734375;
146231531,53153148293;-1,54378509521484375;
147232432,4324323833;-1,264324188232421875;
148233333,33333328366;-1,092288970947265625;
149234234,23423418403;-0,7660980224609375;
150235135,13513508439;-1,981182098388671875;
151236036,03603598475;-1,492916107177734375;
152236936,93693688512;-1,38414764404296875;
153237837,83783778548;-1,08258819580078125;
154238738,73873868585;-1,734645843505859375;
155239639,63963958621;-0,750980377197265625;
156240540,54054048657;-1,32958984375;
157241441,44144138694;-0,950016021728515625;
158242342,3423422873;-1,66889190673828125;
159243243,24324318767;-0,983699798583984375;
160244144,14414408803;-1,303760528564453125;
161245045,04504498839;-1,000774383544921875;
162245945,94594588876;-0,7710113525390625;
163246846,84684678912;-1,6749114990234375;
164247747,74774768949;-1,74045562744140625;
165248648,64864858985;-1,730937957763671875;
166249549,54954949021;-1,352569580078125;
167250450,45045039058;-1,412860870361328125;
168251351,35135129094;-1,247783660888671875;
169252252,25225219131;-0,84812164306640625;
170253153,15315309167;-0,92461395263671875;
171254054,05405399203;-1,46067047119140625;
172254954,9549548924;-1,608531951904296875;
173255855,85585579276;-1,285297393798828125;
174256756,75675669312;-1,247100830078125;
175257657,65765759349;-1,077392578125;
176258558,55855849385;-1,130588531494140625;
177259459,45945939422;-1,007793426513671875;
178260360,36036029458;-2,186626434326171875;
179261261,26126119494;-1,3651275634765625;
180262162,16216209531;-1,65872955322265625;
181263063,06306299567;-0,436870574951171875;
182263963,96396389604;-1,6128387451171875;
183264864,8648647964;-1,622528076171875;
184265765,76576569676;-1,4657440185546875;
185266666,66666659713;-1,888408660888671875;
186267567,56756749749;-1,727909088134765625;
187268468,46846839786;-1,41947174072265625;
188269369,36936929822;-2,22991943359375;
189270270,27027019858;-1,08428192138671875;
190271171,17117109895;-1,824214935302734375;
191272072,07207199931;-2,5440826416015625;
192272972,97297289968;-1,631683349609375;
193273873,87387380004;-2,05770111083984375;
194274774,7747747004;-2,153507232666015625;
195275675,67567560077;-1,30339813232421875;
196276576,57657650113;-1,744720458984375;
197277477,47747740149;-2,083911895751953125;
198278378,37837830186;-1,864414215087890625;
199279279,27927920222;-1,540557861328125;
200280180,18018010259;-1,64405059814453125;
201281081,08108100295;-1,708484649658203125;
202281981,98198190331;-2,159435272216796875;
203282882,88288280368;-3,117954254150390625;
204283783,78378370404;-2,298740386962890625;
205284684,68468460441;-2,111541748046875;
206285585,58558550477;-2,2966156005859375;
207286486,48648640513;-2,52274322509765625;
208287387,3873873055;-1,971752166748046875;
209288288,28828820586;-2,209026336669921875;
210289189,18918910623;-2,410251617431640625;
211290090,09009000659;-1,84152984619140625;
212290990,99099090695;-1,8249664306640625;
213291891,89189180732;-2,720775604248046875;
214292792,79279270768;-1,703067779541015625;
215293693,69369360805;-1,01047515869140625;
216294594,59459450841;-2,54137420654296875;
217295495,49549540877;-2,096721649169921875;
218296396,39639630914;-1,864593505859375;
219297297,2972972095;-1,70941162109375;
220298198,19819810987;-2,36133575439453125;
221299099,09909901023;-1,7045745849609375;
222299999,99999991059;-2,559417724609375;
223300900,90090081096;-2,065212249755859375;
224301801,80180171132;-2,014911651611328125;
225302702,70270261168;-3,007869720458984375;
226303603,60360351205;-2,640380859375;
227304504,50450441241;-2,230991363525390625;
228305405,40540531278;-2,0899200439453125;
229306306,30630621314;-2,9334716796875;
230307207,2072071135;-2,434383392333984375;
231308108,10810801387;-2,74460601806640625;
232309009,00900891423;-2,2096405029296875;
233309909,9099098146;-2,468524932861328125;
234310810,81081071496;-2,297306060791015625;
235311711,71171161532;-3,02977752685546875;
236312612,61261251569;-1,772731781005859375;
237313513,51351341605;-2,444316864013671875;
238314414,41441431642;-2,724578857421875;
239315315,31531521678;-2,117938995361328125;
240316216,21621611714;-2,281375885009765625;
241317117,11711701751;-2,80361175537109375;
242318018,01801791787;-3,027744293212890625;
243318918,91891881824;-2,748035430908203125;
244319819,8198197186;-2,221027374267578125;
245320720,72072061896;-2,053192138671875;
246321621,62162151933;-2,35651397705078125;
247322522,52252241969;-2,9165191650390625;
248323423,42342332006;-1,57535552978515625;
249324324,32432422042;-2,61287689208984375;
250325225,22522512078;-2,916538238525390625;
251326126,12612602115;-2,34377288818359375;
252327027,02702692151;-2,207965850830078125;
