sep=;
Window;1;Frequency Sweep
Trace;1;
100000;6,47332763671875;
1100900,9009009008296;3,949291229248046875;
2101801,8018018016592;-0,3704090118408203125;
3102702,7027027024888;1,5464382171630859375;
4103603,6036036033183;8,2821807861328125;
5104504,5045045046136;5,1897735595703125;
6105405,4054054059088;4,120220184326171875;
7106306,3063063072041;4,4924163818359375;
8107207,2072072084993;3,650699615478515625;
9108108,1081081088632;4,0689239501953125;
10109009,009009009227;3,897785186767578125;
11109909,909909909591;4,255023956298828125;
12110810,810810809955;4,0040283203125;
13111711,711711710319;3,977939605712890625;
14112612,612612610683;4,04056549072265625;
15113513,513513511047;4,222713470458984375;
16114414,414414411411;4,08615875244140625;
17115315,315315313637;3,80644989013671875;
18116216,216216214001;3,66820526123046875;
19117117,117117114365;4,371212005615234375;
20118018,018018014729;4,045001983642578125;
21118918,918918915093;4,7582550048828125;
22119819,819819815457;5,171573638916015625;
23120720,720720715821;3,992710113525390625;
24121621,621621616185;4,806552886962890625;
25122522,522522516549;4,484233856201171875;
26123423,423423416913;4,305820465087890625;
27124324,324324317276;4,3463592529296875;
28125225,22522521764;4,544525146484375;
29126126,126126118004;4,517902374267578125;
30127027,027027018368;4,922687530517578125;
31127927,927927918732;4,7215423583984375;
32128828,828828819096;4,167369842529296875;
33129729,72972971946;4,33676910400390625;
34130630,630630619824;4,270107269287109375;
35131531,531531520188;4,285976409912109375;
36132432,432432420552;3,871517181396484375;
37133333,333333320916;4,2954559326171875;
38134234,23423422128;3,82564544677734375;
39135135,135135121644;3,681697845458984375;
40136036,036036022007;4,277652740478515625;
41136936,936936922371;4,825130462646484375;
42137837,837837822735;4,444854736328125;
43138738,738738723099;4,306583404541015625;
44139639,639639623463;4,81314849853515625;
45140540,540540523827;4,385921478271484375;
46141441,441441424191;4,355754852294921875;
47142342,342342324555;4,68051910400390625;
48143243,243243224919;4,038242340087890625;
49144144,144144125283;4,418476104736328125;
50145045,045045025647;5,156795501708984375;
51145945,945945926011;3,809154510498046875;
52146846,846846826375;4,375453948974609375;
53147747,747747726738;4,171871185302734375;
54148648,648648627102;3,88008880615234375;
55149549,549549527466;4,27585601806640625;
56150450,45045042783;4,815998077392578125;
57151351,351351328194;5,00345611572265625;
58152252,252252228558;4,2425994873046875;
59153153,153153128922;4,872283935546875;
60154054,054054029286;3,878215789794921875;
61154954,95495492965;4,554500579833984375;
62155855,855855830014;4,119579315185546875;
63156756,756756730378;4,08913421630859375;
64157657,657657630742;4,414764404296875;
65158558,558558531106;4,6355743408203125;
66159459,459459431469;3,9723052978515625;
67160360,360360339284;4,3268280029296875;
68161261,261261239648;4,39240264892578125;
69162162,162162140012;4,53409576416015625;
70163063,063063040376;4,09259796142578125;
71163963,96396394074;3,854206085205078125;
72164864,864864841104;4,577190399169921875;
73165765,765765741467;4,636508941650390625;
74166666,666666641831;4,297077178955078125;
75167567,567567542195;4,70000457763671875;
76168468,468468442559;4,579311370849609375;
77169369,369369342923;4,624370574951171875;
78170270,270270243287;4,579753875732421875;
79171171,171171143651;4,52597808837890625;
80172072,072072044015;4,91097259521484375;
81172972,972972944379;4,258647918701171875;
82173873,873873844743;4,684123992919921875;
83174774,774774745107;4,348567962646484375;
84175675,675675645471;3,87631988525390625;
85176576,576576545835;4,920379638671875;
86177477,477477446198;4,507415771484375;
87178378,378378346562;4,716644287109375;
88179279,279279246926;4,260013580322265625;
89180180,18018014729;4,262332916259765625;
90181081,081081047654;4,38916778564453125;
91181981,981981948018;4,227687835693359375;
92182882,882882848382;4,445278167724609375;
93183783,783783748746;4,3565826416015625;
94184684,68468464911;4,328731536865234375;
95185585,585585549474;4,229686737060546875;
96186486,486486449838;4,6318206787109375;
97187387,387387350202;4,415203094482421875;
98188288,288288250566;4,432224273681640625;
99189189,189189150929;4,6120147705078125;
100190090,09009005129;4,74004364013671875;
101190990,99099095166;4,4434814453125;
102191891,89189185202;4,8601226806640625;
103192792,79279275239;4,42284393310546875;
104193693,69369365275;4,3609466552734375;
105194594,59459455311;4,893779754638671875;
106195495,49549545348;4,707530975341796875;
107196396,39639635384;4,379791259765625;
108197297,2972972542;3,9642181396484375;
109198198,19819815457;4,107395172119140625;
110199099,09909905493;4,199527740478515625;
111199999,9999999553;4,447650909423828125;
112200900,90090085566;4,603504180908203125;
113201801,80180175602;4,649688720703125;
114202702,70270265639;4,20313262939453125;
115203603,60360355675;4,627880096435546875;
116204504,50450445712;4,549713134765625;
117205405,40540535748;4,748233795166015625;
118206306,30630625784;4,287357330322265625;
119207207,20720715821;4,443790435791015625;
120208108,10810805857;4,5159759521484375;
121209009,00900895894;4,835521697998046875;
122209909,9099098593;4,622570037841796875;
123210810,81081075966;5,20529937744140625;
124211711,71171166003;4,54642486572265625;
125212612,61261256039;4,61814117431640625;
126213513,51351346076;4,2798614501953125;
127214414,41441436112;4,79309844970703125;
128215315,31531526148;4,90990447998046875;
129216216,21621616185;4,524929046630859375;
130217117,11711706221;4,7302093505859375;
131218018,01801796257;4,7214813232421875;
132218918,91891886294;4,40169525146484375;
133219819,8198197633;4,103290557861328125;
134220720,72072067857;4,926273345947265625;
135221621,62162157893;4,90386962890625;
136222522,5225224793;5,214572906494140625;
137223423,42342337966;4,942630767822265625;
138224324,32432428002;4,425933837890625;
139225225,22522518039;4,998626708984375;
140226126,12612608075;3,802516937255859375;
141227027,02702698112;4,9269561767578125;
142227927,92792788148;5,2717437744140625;
143228828,82882878184;4,358760833740234375;
144229729,72972968221;4,46661376953125;
145230630,63063058257;4,723140716552734375;
146231531,53153148293;4,530742645263671875;
147232432,4324323833;4,4628143310546875;
148233333,33333328366;4,876598358154296875;
149234234,23423418403;4,998973846435546875;
150235135,13513508439;4,633579254150390625;
151236036,03603598475;4,33141326904296875;
152236936,93693688512;4,57419586181640625;
153237837,83783778548;5,008846282958984375;
154238738,73873868585;4,63791656494140625;
155239639,63963958621;4,477985382080078125;
156240540,54054048657;4,7679443359375;
157241441,44144138694;4,97544097900390625;
158242342,3423422873;4,059116363525390625;
159243243,24324318767;4,6439666748046875;
160244144,14414408803;5,105926513671875;
161245045,04504498839;4,22676849365234375;
162245945,94594588876;4,812496185302734375;
163246846,84684678912;4,66371917724609375;
164247747,74774768949;4,579654693603515625;
165248648,64864858985;4,175079345703125;
166249549,54954949021;4,30771636962890625;
167250450,45045039058;4,80193328857421875;
168251351,35135129094;4,38063812255859375;
169252252,25225219131;4,7922821044921875;
170253153,15315309167;5,40424346923828125;
171254054,05405399203;5,00876617431640625;
172254954,9549548924;4,5876617431640625;
173255855,85585579276;4,918392181396484375;
174256756,75675669312;4,6932830810546875;
175257657,65765759349;5,036617279052734375;
176258558,55855849385;4,535762786865234375;
177259459,45945939422;4,300617218017578125;
178260360,36036029458;4,4070281982421875;
179261261,26126119494;4,716747283935546875;
180262162,16216209531;4,1430816650390625;
181263063,06306299567;4,569263458251953125;
182263963,96396389604;4,128696441650390625;
183264864,8648647964;4,91808319091796875;
184265765,76576569676;4,718479156494140625;
185266666,66666659713;4,299346923828125;
186267567,56756749749;4,2749786376953125;
187268468,46846839786;4,447414398193359375;
188269369,36936929822;5,09650421142578125;
189270270,27027019858;4,32628631591796875;
190271171,17117109895;4,34465789794921875;
191272072,07207199931;4,43672943115234375;
192272972,97297289968;4,610439300537109375;
193273873,87387380004;4,508327484130859375;
194274774,7747747004;4,242473602294921875;
195275675,67567560077;4,478450775146484375;
196276576,57657650113;4,48529815673828125;
197277477,47747740149;4,072467803955078125;
198278378,37837830186;3,951061248779296875;
199279279,27927920222;4,339450836181640625;
200280180,18018010259;4,44377899169921875;
201281081,08108100295;4,636962890625;
202281981,98198190331;4,59716033935546875;
203282882,88288280368;3,6857147216796875;
204283783,78378370404;4,613018035888671875;
205284684,68468460441;4,00115966796875;
206285585,58558550477;4,883747100830078125;
207286486,48648640513;4,2943572998046875;
208287387,3873873055;4,258068084716796875;
209288288,28828820586;4,57878875732421875;
210289189,18918910623;4,62203216552734375;
211290090,09009000659;4,27205657958984375;
212290990,99099090695;4,734882354736328125;
213291891,89189180732;4,18984222412109375;
214292792,79279270768;4,628692626953125;
215293693,69369360805;4,850681304931640625;
216294594,59459450841;4,424556732177734375;
217295495,49549540877;4,1616973876953125;
218296396,39639630914;4,882312774658203125;
219297297,2972972095;5,12884521484375;
220298198,19819810987;4,470455169677734375;
221299099,09909901023;4,81903076171875;
222299999,99999991059;4,479339599609375;
223300900,90090081096;4,222072601318359375;
224301801,80180171132;4,340167999267578125;
225302702,70270261168;4,00457000732421875;
226303603,60360351205;4,4026336669921875;
227304504,50450441241;4,4446258544921875;
228305405,40540531278;4,64923858642578125;
229306306,30630621314;4,106975555419921875;
230307207,2072071135;4,470737457275390625;
231308108,10810801387;3,834102630615234375;
232309009,00900891423;4,682773590087890625;
233309909,9099098146;4,42244720458984375;
234310810,81081071496;4,3922576904296875;
235311711,71171161532;4,150112152099609375;
236312612,61261251569;4,46053314208984375;
237313513,51351341605;4,5829010009765625;
238314414,41441431642;4,07569122314453125;
239315315,31531521678;4,2963104248046875;
240316216,21621611714;4,599079132080078125;
241317117,11711701751;3,891948699951171875;
242318018,01801791787;4,127532958984375;
243318918,91891881824;4,30547332763671875;
244319819,8198197186;4,7028045654296875;
245320720,72072061896;4,16744232177734375;
246321621,62162151933;4,0892181396484375;
247322522,52252241969;4,1148529052734375;
248323423,42342332006;4,70172119140625;
249324324,32432422042;4,078464508056640625;
250325225,22522512078;4,192943572998046875;
251326126,12612602115;5,13527679443359375;
252327027,02702692151;3,9532012939453125;
253327927,92792782187;3,96942138671875;
254328828,82882872224;4,348445892333984375;
255329729,7297296226;4,178165435791015625;
256330630,63063052297;4,1669158935546875;
257331531,53153142333;4,34534454345703125;
258332432,43243232369;4,26435089111328125;
259333333,33333322406;4,1851806640625;
260334234,23423412442;3,602092742919921875;
261335135,13513502479;4,341472625732421875;
262336036,03603592515;4,797496795654296875;
263336936,93693682551;4,196552276611328125;
264337837,83783772588;4,234527587890625;
