sep=;
Window;1;Frequency Sweep
Trace;1;
100000;-10,4148101806640625;
1100900,9009009008296;-1,034038543701171875;
2101801,8018018016592;-0,237823486328125;
3102702,7027027024888;1,0249958038330078125;
4103603,6036036033183;6,201129913330078125;
5104504,5045045046136;-0,186061859130859375;
6105405,4054054059088;-2,3677825927734375;
7106306,3063063072041;-1,769989013671875;
8107207,2072072084993;-2,79926300048828125;
9108108,1081081088632;-2,474201202392578125;
10109009,009009009227;-2,327701568603515625;
11109909,909909909591;-2,2074432373046875;
12110810,810810809955;-1,508045196533203125;
13111711,711711710319;-2,5240020751953125;
14112612,612612610683;-1,67598724365234375;
15113513,513513511047;-2,1014862060546875;
16114414,414414411411;-1,534992218017578125;
17115315,315315313637;-2,34275054931640625;
18116216,216216214001;-2,69415283203125;
19117117,117117114365;-2,056915283203125;
20118018,018018014729;-1,622119903564453125;
21118918,918918915093;-1,846954345703125;
22119819,819819815457;-1,426044464111328125;
23120720,720720715821;-2,291278839111328125;
24121621,621621616185;-1,120021820068359375;
25122522,522522516549;-1,10511016845703125;
26123423,423423416913;-0,886341094970703125;
27124324,324324317276;-1,24861907958984375;
28125225,22522521764;-1,160694122314453125;
29126126,126126118004;-1,75681304931640625;
30127027,027027018368;-1,073818206787109375;
31127927,927927918732;-1,617313385009765625;
32128828,828828819096;-1,70638275146484375;
33129729,72972971946;-2,21694183349609375;
34130630,630630619824;-1,312763214111328125;
35131531,531531520188;-0,7258148193359375;
36132432,432432420552;-2,036411285400390625;
37133333,333333320916;-2,005279541015625;
38134234,23423422128;-2,14740753173828125;
39135135,135135121644;-2,325592041015625;
40136036,036036022007;-1,7116241455078125;
41136936,936936922371;-0,461315155029296875;
42137837,837837822735;-1,8242950439453125;
43138738,738738723099;-2,53740692138671875;
44139639,639639623463;-1,04967498779296875;
45140540,540540523827;-2,3052825927734375;
46141441,441441424191;-1,476104736328125;
47142342,342342324555;-1,118927001953125;
48143243,243243224919;-1,1297454833984375;
49144144,144144125283;-2,160816192626953125;
50145045,045045025647;-1,60521697998046875;
51145945,945945926011;-2,621738433837890625;
52146846,846846826375;-1,94724273681640625;
53147747,747747726738;-1,71775054931640625;
54148648,648648627102;-2,290470123291015625;
55149549,549549527466;-1,996616363525390625;
56150450,45045042783;-1,314945220947265625;
57151351,351351328194;-1,01474761962890625;
58152252,252252228558;-1,647357940673828125;
59153153,153153128922;-0,757320404052734375;
60154054,054054029286;-1,486572265625;
61154954,95495492965;-1,12628936767578125;
62155855,855855830014;-1,90659332275390625;
63156756,756756730378;-1,84516143798828125;
64157657,657657630742;-1,65500640869140625;
65158558,558558531106;-1,503200531005859375;
66159459,459459431469;-2,13671875;
67160360,360360339284;-1,432178497314453125;
68161261,261261239648;-1,51212310791015625;
69162162,162162140012;-1,223041534423828125;
70163063,063063040376;-1,88848114013671875;
71163963,96396394074;-2,146617889404296875;
72164864,864864841104;-1,635982513427734375;
73165765,765765741467;-2,0522613525390625;
74166666,666666641831;-1,927371978759765625;
75167567,567567542195;-1,28978729248046875;
76168468,468468442559;-1,62183380126953125;
77169369,369369342923;-1,92748260498046875;
78170270,270270243287;-1,516437530517578125;
79171171,171171143651;-1,18454742431640625;
80172072,072072044015;-1,42218780517578125;
81172972,972972944379;-1,56287384033203125;
82173873,873873844743;-1,21544647216796875;
83174774,774774745107;-1,52569580078125;
84175675,675675645471;-2,006511688232421875;
85176576,576576545835;-1,479461669921875;
86177477,477477446198;-0,96298980712890625;
87178378,378378346562;-1,063907623291015625;
88179279,279279246926;-1,4610137939453125;
89180180,18018014729;-2,02312469482421875;
90181081,081081047654;-2,406261444091796875;
91181981,981981948018;-1,922946929931640625;
92182882,882882848382;-2,538364410400390625;
93183783,783783748746;-0,89606475830078125;
94184684,68468464911;-1,327213287353515625;
95185585,585585549474;-1,616680145263671875;
96186486,486486449838;-0,897369384765625;
97187387,387387350202;-1,3649139404296875;
98188288,288288250566;-1,960735321044921875;
99189189,189189150929;-1,200042724609375;
100190090,09009005129;-1,575382232666015625;
101190990,99099095166;-2,0699005126953125;
102191891,89189185202;-1,5312652587890625;
103192792,79279275239;-1,46765899658203125;
104193693,69369365275;-1,293087005615234375;
105194594,59459455311;-1,07851409912109375;
106195495,49549545348;-1,562885284423828125;
107196396,39639635384;-2,281787872314453125;
108197297,2972972542;-2,081081390380859375;
109198198,19819815457;-1,636127471923828125;
110199099,09909905493;-2,051776885986328125;
111199999,9999999553;-0,952991485595703125;
112200900,90090085566;-1,485713958740234375;
113201801,80180175602;-1,109622955322265625;
114202702,70270265639;-1,757282257080078125;
115203603,60360355675;-2,510593414306640625;
116204504,50450445712;-1,696613311767578125;
117205405,40540535748;-1,960147857666015625;
118206306,30630625784;-1,251735687255859375;
119207207,20720715821;-1,655536651611328125;
120208108,10810805857;-1,248615264892578125;
121209009,00900895894;-1,12664031982421875;
122209909,9099098593;-1,289539337158203125;
123210810,81081075966;-1,319408416748046875;
124211711,71171166003;-1,892986297607421875;
125212612,61261256039;-1,84183502197265625;
126213513,51351346076;-1,849391937255859375;
127214414,41441436112;-1,79187774658203125;
128215315,31531526148;-1,1713104248046875;
129216216,21621616185;-1,595325469970703125;
130217117,11711706221;-1,779361724853515625;
131218018,01801796257;-1,59796905517578125;
132218918,91891886294;-1,822406768798828125;
133219819,8198197633;-2,060699462890625;
134220720,72072067857;-2,024089813232421875;
135221621,62162157893;-1,78281402587890625;
136222522,5225224793;-0,964801788330078125;
137223423,42342337966;-1,2165985107421875;
138224324,32432428002;-1,56461334228515625;
139225225,22522518039;-1,754795074462890625;
140226126,12612608075;-2,121303558349609375;
141227027,02702698112;-1,85376739501953125;
142227927,92792788148;-1,337005615234375;
143228828,82882878184;-1,395599365234375;
144229729,72972968221;-1,712688446044921875;
145230630,63063058257;-1,933746337890625;
146231531,53153148293;-2,197780609130859375;
147232432,4324323833;-1,630329132080078125;
148233333,33333328366;-2,043468475341796875;
149234234,23423418403;-1,5763092041015625;
150235135,13513508439;-1,522861480712890625;
151236036,03603598475;-1,9546661376953125;
152236936,93693688512;-1,700420379638671875;
153237837,83783778548;-1,510356903076171875;
154238738,73873868585;-1,983123779296875;
155239639,63963958621;-1,533283233642578125;
156240540,54054048657;-1,653316497802734375;
157241441,44144138694;-1,00199127197265625;
158242342,3423422873;-1,834621429443359375;
159243243,24324318767;-1,96178436279296875;
160244144,14414408803;-2,254146575927734375;
161245045,04504498839;-1,512950897216796875;
162245945,94594588876;-2,083587646484375;
163246846,84684678912;-1,320751190185546875;
164247747,74774768949;-2,36153411865234375;
165248648,64864858985;-2,22454071044921875;
166249549,54954949021;-1,893199920654296875;
167250450,45045039058;-1,21025848388671875;
168251351,35135129094;-2,498462677001953125;
169252252,25225219131;-1,976940155029296875;
170253153,15315309167;-1,406158447265625;
171254054,05405399203;-1,363147735595703125;
172254954,9549548924;-1,32202911376953125;
173255855,85585579276;-1,733783721923828125;
174256756,75675669312;-1,32677459716796875;
175257657,65765759349;-1,818630218505859375;
176258558,55855849385;-1,252956390380859375;
177259459,45945939422;-1,864833831787109375;
178260360,36036029458;-2,140933990478515625;
179261261,26126119494;-1,99648284912109375;
180262162,16216209531;-2,087245941162109375;
181263063,06306299567;-1,80373382568359375;
182263963,96396389604;-1,7865447998046875;
183264864,8648647964;-0,944606781005859375;
184265765,76576569676;-1,68387603759765625;
185266666,66666659713;-2,650554656982421875;
186267567,56756749749;-2,270893096923828125;
187268468,46846839786;-2,25612640380859375;
188269369,36936929822;-2,120624542236328125;
189270270,27027019858;-2,277118682861328125;
190271171,17117109895;-1,67697906494140625;
191272072,07207199931;-2,078487396240234375;
192272972,97297289968;-2,0519256591796875;
193273873,87387380004;-1,55870819091796875;
194274774,7747747004;-2,0002288818359375;
195275675,67567560077;-2,303401947021484375;
196276576,57657650113;-2,087474822998046875;
197277477,47747740149;-2,653827667236328125;
198278378,37837830186;-2,111972808837890625;
199279279,27927920222;-2,51068115234375;
200280180,18018010259;-2,5858154296875;
201281081,08108100295;-1,6813201904296875;
202281981,98198190331;-2,10764312744140625;
203282882,88288280368;-2,79532623291015625;
204283783,78378370404;-2,399120330810546875;
205284684,68468460441;-2,7609710693359375;
206285585,58558550477;-2,574337005615234375;
207286486,48648640513;-3,21396636962890625;
208287387,3873873055;-2,36203765869140625;
209288288,28828820586;-2,80089569091796875;
210289189,18918910623;-2,248920440673828125;
211290090,09009000659;-2,02617645263671875;
212290990,99099090695;-2,4471435546875;
213291891,89189180732;-3,270626068115234375;
214292792,79279270768;-2,47338104248046875;
215293693,69369360805;-2,565639495849609375;
216294594,59459450841;-2,70123291015625;
217295495,49549540877;-2,343639373779296875;
218296396,39639630914;-1,64196014404296875;
219297297,2972972095;-1,744045257568359375;
220298198,19819810987;-1,74274444580078125;
221299099,09909901023;-2,478099822998046875;
222299999,99999991059;-3,240200042724609375;
223300900,90090081096;-2,325283050537109375;
224301801,80180171132;-3,05396270751953125;
225302702,70270261168;-2,798717498779296875;
226303603,60360351205;-2,744014739990234375;
227304504,50450441241;-2,97109222412109375;
228305405,40540531278;-2,340427398681640625;
229306306,30630621314;-3,28298187255859375;
230307207,2072071135;-2,637378692626953125;
231308108,10810801387;-2,7035675048828125;
232309009,00900891423;-2,580654144287109375;
233309909,9099098146;-2,327976226806640625;
234310810,81081071496;-3,120227813720703125;
235311711,71171161532;-2,5430755615234375;
236312612,61261251569;-1,890277862548828125;
237313513,51351341605;-2,121669769287109375;
238314414,41441431642;-2,86197662353515625;
239315315,31531521678;-2,646877288818359375;
240316216,21621611714;-3,014556884765625;
241317117,11711701751;-3,4802093505859375;
242318018,01801791787;-2,8871917724609375;
243318918,91891881824;-2,778675079345703125;
244319819,8198197186;-2,2449188232421875;
245320720,72072061896;-3,46131134033203125;
246321621,62162151933;-2,667423248291015625;
247322522,52252241969;-2,969512939453125;
248323423,42342332006;-2,201160430908203125;
249324324,32432422042;-2,805423736572265625;
250325225,22522512078;-2,95972442626953125;
251326126,12612602115;-1,7740631103515625;
